participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability
participant_10,1.0,9.0,none,5000,5.0,0,4550.235752621312,22854.89999985695,22.854899999856947,10000.0,12854.899999856949,84.0,2.0,3.0
participant_10,2.0,19.0,spinner-color,1000,1.0,0,4576.154044430844,17204.599999904633,17.204599999904634,2000.0,15204.599999904633,38.0,2.0,4.0
participant_10,3.0,16.0,skeleton-color,2500,2.5,0,6366.807507233563,19615.29999995232,19.61529999995232,5000.0,14615.299999952316,79.0,4.0,3.0
participant_10,4.0,7.0,spinner,1000,1.0,0,4960.750483151509,12604.5,12.6045,2000.0,10604.5,20.0,2.0,4.0
participant_10,5.0,5.0,none,2500,2.5,0,7567.1570189326385,20465.599999904636,20.465599999904637,5000.0,15465.599999904633,80.0,4.0,2.0
participant_10,6.0,1.0,bar-color,5000,5.0,0,4950.060665294346,22285.900000095367,22.285900000095367,10000.0,12285.900000095367,92.0,5.0,2.0
participant_10,7.0,14.0,skeleton-color,1000,1.0,0,10304.749780367552,18671.39999985695,18.67139999985695,3000.0,15671.399999856949,49.0,3.0,3.0
participant_10,8.0,13.0,spinner-color,2500,2.5,0,6539.5124301134265,19574.10000014305,19.57410000014305,7500.0,12074.100000143051,81.0,4.0,3.0
participant_10,9.0,21.0,skeleton,2500,2.5,0,5789.544583313108,19566.79999995232,19.56679999995232,7500.0,12066.799999952316,76.0,4.0,3.0
participant_10,10.0,8.0,bar-color,1000,1.0,0,7153.829446050096,23079.29999995232,23.07929999995232,4000.0,19079.29999995232,38.0,2.0,4.0
participant_10,11.0,2.0,bar,5000,5.0,0,7334.527813684201,27414.5,27.4145,15000.0,12414.5,94.0,5.0,1.0
participant_10,12.0,3.0,none,1000,1.0,0,5533.951197576796,22555.699999809265,22.555699999809264,3000.0,19555.699999809265,46.0,3.0,2.0
participant_10,13.0,12.0,skeleton,5000,5.0,0,7533.5464663622915,30047.099999904636,30.047099999904635,15000.0,15047.099999904633,90.0,4.0,2.0
participant_10,14.0,15.0,spinner,5000,5.0,0,6124.35081239377,25646.900000095367,25.646900000095368,15000.0,10646.900000095367,85.0,4.0,3.0
participant_10,15.0,20.0,bar-color,2500,2.5,0,6569.818903800411,22855.29999995232,22.85529999995232,7500.0,15355.299999952316,54.0,3.0,4.0
participant_10,16.0,6.0,skeleton-color,5000,5.0,0,7208.151221386428,29240.099999904636,29.240099999904636,15000.0,14240.099999904633,82.0,4.0,2.0
participant_10,17.0,10.0,bar,2500,2.5,0,6625.207386757126,19207.29999995232,19.20729999995232,7500.0,11707.299999952316,48.0,2.0,4.0
participant_10,18.0,18.0,spinner-color,5000,5.0,0,5832.273097567709,20200.0,20.2,10000.0,10200.0,67.0,4.0,2.0
participant_10,19.0,4.0,spinner,2500,2.5,0,5699.40791531097,13984.200000047684,13.984200000047684,5000.0,8984.200000047684,57.0,3.0,3.0
participant_10,20.0,17.0,skeleton,1000,1.0,0,7008.426006817968,12407.100000143051,12.407100000143052,3000.0,9407.100000143051,39.0,2.0,4.0
participant_10,21.0,11.0,bar,1000,1.0,0,4620.2818049819,10735.899999856949,10.735899999856949,2000.0,8735.899999856949,33.0,2.0,4.0
participant_11,1.0,7.0,spinner,1000,1.0,0,4847.551075712788,13451.200000047684,13.451200000047685,2000.0,11451.200000047684,27.0,1.0,5.0
participant_11,2.0,16.0,skeleton-color,2500,2.5,0,4998.080759417048,16802.0,16.802,5000.0,11802.0,45.0,2.0,2.0
participant_11,3.0,21.0,skeleton,2500,2.5,0,5320.107989663996,14464.799999952316,14.464799999952316,5000.0,9464.799999952316,43.0,2.0,4.0
participant_11,4.0,6.0,skeleton-color,5000,5.0,0,4412.340066336416,21201.10000014305,21.20110000014305,10000.0,11201.100000143051,71.0,4.0,2.0
participant_11,5.0,11.0,bar,1000,1.0,0,8359.339363471172,35312.0,35.312,6000.0,29312.0,22.0,1.0,5.0
participant_11,6.0,5.0,none,2500,2.5,0,4902.759111353471,14151.5,14.1515,5000.0,9151.5,25.0,4.0,3.0
participant_11,7.0,17.0,skeleton,1000,1.0,0,4273.975660351917,11395.099999904633,11.395099999904632,2000.0,9395.099999904633,19.0,1.0,5.0
participant_11,8.0,13.0,spinner-color,2500,2.5,0,4039.844115179265,13969.5,13.9695,5000.0,8969.5,61.0,2.0,4.0
participant_11,9.0,12.0,skeleton,5000,5.0,0,4393.740293000188,28034.700000047684,28.034700000047685,15000.0,13034.700000047684,75.0,4.0,3.0
participant_11,10.0,2.0,bar,5000,5.0,0,5571.246158614543,21815.599999904636,21.815599999904638,10000.0,11815.599999904633,85.0,5.0,2.0
participant_11,11.0,14.0,skeleton-color,1000,1.0,0,4676.139973012395,11783.199999809263,11.783199999809263,2000.0,9783.199999809263,16.0,2.0,2.0
participant_11,12.0,1.0,bar-color,5000,5.0,0,8114.075521616851,22608.900000095367,22.608900000095367,10000.0,12608.900000095367,89.0,5.0,2.0
participant_11,13.0,15.0,spinner,5000,5.0,0,4527.427812544478,21183.700000047684,21.183700000047683,10000.0,11183.700000047684,74.0,4.0,2.0
participant_11,14.0,19.0,spinner-color,1000,1.0,0,7001.029065657787,13069.5,13.0695,2000.0,11069.5,24.0,2.0,4.0
participant_11,15.0,4.0,spinner,2500,2.5,0,5145.20224740075,18429.599999904636,18.429599999904635,7500.0,10929.599999904633,55.0,3.0,4.0
participant_11,16.0,10.0,bar,2500,2.5,0,5811.968626515018,14297.0,14.297,5000.0,9297.0,57.0,2.0,3.0
participant_11,17.0,18.0,spinner-color,5000,5.0,0,5321.287675042457,20727.60000014305,20.727600000143052,10000.0,10727.600000143051,66.0,4.0,2.0
participant_11,18.0,9.0,none,5000,5.0,0,7750.900920293692,43351.09999990463,43.35109999990463,20000.0,23351.099999904636,95.0,5.0,1.0
participant_11,19.0,20.0,bar-color,2500,2.5,0,3954.340183409775,17006.0,17.006,5000.0,12006.0,74.0,4.0,3.0
participant_11,20.0,3.0,none,1000,1.0,0,5547.582322266887,14046.900000095367,14.046900000095368,2000.0,12046.900000095367,29.0,2.0,4.0
participant_11,21.0,8.0,bar-color,1000,1.0,0,4563.045961813973,12328.200000047684,12.328200000047683,2000.0,10328.200000047684,4.0,1.0,4.0
participant_12,1.0,6.0,skeleton-color,5000,5.0,0,4172.509504916193,19943.29999995232,19.94329999995232,10000.0,9943.299999952316,79.0,4.0,2.0
participant_12,2.0,12.0,skeleton,5000,5.0,0,3442.8321470992382,17407.400000095367,17.407400000095368,10000.0,7407.400000095367,65.0,4.0,2.0
