executionOrder,originalTrialNumber,action,rageClicks,mouseDistance,optimalMouseDistance,taskDuration,totalLoadingTime,pureTaskDuration,loaderType,simulatedLoadingTime,taskSuccess,timestamp,perceivedTime,discomfort,reliability
1,6,Task Completed,0,4172.509504916193,0,19943.299999952316,10000,9943.299999952316,skeleton-color,5000,true,2026-06-15T07:06:01.634Z,79,4,2
2,12,Task Completed,0,3442.8321470992382,0,17407.400000095367,10000,7407.400000095367,skeleton,5000,true,2026-06-15T07:06:45.993Z,65,4,2
3,5,Task Completed,0,4498.416283067084,0,18023.299999952316,5000,13023.299999952316,none,2500,true,2026-06-15T07:07:23.313Z,74,5,1
4,19,Task Completed,0,5676.6864487612165,0,14736.700000047684,2000,12736.700000047684,spinner-color,1000,true,2026-06-15T07:07:49.801Z,37,2,4
5,3,Task Completed,0,6198.855567235152,0,15263.700000047684,2000,13263.700000047684,none,1000,true,2026-06-15T07:08:20.777Z,41,2,4
6,10,Task Completed,0,3735.066247706019,0,15471.099999904633,5000,10471.099999904633,bar,2500,true,2026-06-15T07:08:50.369Z,31,2,4
7,16,Task Completed,0,4257.956160895238,0,14642,5000,9642,skeleton-color,2500,true,2026-06-15T07:09:20.634Z,78,4,3
8,18,Task Completed,0,3733.379241122345,0,17375.39999985695,10000,7375.399999856949,spinner-color,5000,true,2026-06-15T07:10:04.824Z,82,4,3
9,4,Task Completed,0,5048.957721649255,0,15167.299999952316,5000,10167.299999952316,spinner,2500,true,2026-06-15T07:10:40.928Z,63,4,4
10,13,Task Completed,0,4988.680830938333,0,15158.900000095367,5000,10158.900000095367,spinner-color,2500,true,2026-06-15T07:11:12.080Z,58,3,4
11,2,Task Completed,0,3738.110673003234,0,20688.799999952316,10000,10688.799999952316,bar,5000,true,2026-06-15T07:11:47.400Z,74,4,4
12,21,Task Completed,0,3478.5288047739677,0,12687.200000047684,5000,7687.200000047684,skeleton,2500,true,2026-06-15T07:12:10.272Z,57,2,4
13,14,Task Completed,0,3925.2934122181164,0,11183.899999856949,2000,9183.899999856949,skeleton-color,1000,true,2026-06-15T07:12:36.976Z,55,2,4
14,15,Task Completed,0,4572.321718239907,0,22717.39999985695,10000,12717.399999856949,spinner,5000,true,2026-06-15T07:13:18.680Z,59,2,4
15,1,Task Completed,0,5601.249579139112,0,19207.39999985695,10000,9207.399999856949,bar-color,5000,true,2026-06-15T07:13:50.888Z,67,4,3
16,11,Task Completed,0,6487.0970881297535,0,11656.100000143051,3000,8656.100000143051,bar,1000,true,2026-06-15T07:14:18.792Z,36,1,5
17,17,Task Completed,0,3630.331695973994,0,11954.099999904633,2000,9954.099999904633,skeleton,1000,true,2026-06-15T07:14:41.968Z,42,2,5
18,9,Task Completed,0,4162.1885513953075,0,18747.5,10000,8747.5,none,5000,true,2026-06-15T07:15:10.799Z,68,5,2
19,8,Task Completed,0,4625.185912801079,0,10487.299999952316,2000,8487.299999952316,bar-color,1000,true,2026-06-15T07:15:32.927Z,38,2,5
20,7,Task Completed,0,10315.379472692957,0,30502.700000047684,6000,24502.700000047684,spinner,1000,true,2026-06-15T07:16:14.047Z,36,2,4
21,20,Task Completed,0,3561.097318396606,0,10860.299999952316,5000,5860.299999952316,bar-color,2500,true,2026-06-15T07:16:33.313Z,58,3,4
