Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,bar-color,True,True,-1.8739839672579917,9.0,two-sided,0.09370139729302612,1.0,holm,1.106,-0.6662816713768347,1.0
loaderType,bar,none,True,True,-3.378361071912158,9.0,two-sided,0.008148136201606333,0.17111086023373298,holm,7.307,-1.2586604031601287,1.0
loaderType,bar,skeleton,True,True,-2.736006424992086,9.0,two-sided,0.022997368728793797,0.4599473745758759,holm,3.205,-1.236974744025593,1.0
loaderType,bar,skeleton-color,True,True,-2.403737095893485,9.0,two-sided,0.03965416350880266,0.7534291066672505,holm,2.103,-1.2938292387075796,1.0
loaderType,bar,spinner,True,True,-2.3358310621359504,9.0,two-sided,0.044321869285901476,0.7977936471462266,holm,1.931,-1.3091742362415466,1.0
loaderType,bar,spinner-color,True,True,-1.9501977599981875,9.0,two-sided,0.08294037141837993,1.0,holm,1.209,-0.9508504958530882,1.0
loaderType,bar-color,none,True,True,-1.8021315740200032,9.0,two-sided,0.10503567347946445,1.0,holm,1.019,-0.8542391917137152,1.0
loaderType,bar-color,skeleton,True,True,-1.3957851508252563,9.0,two-sided,0.19625325299282972,1.0,holm,0.66,-0.6515168505550999,1.0
loaderType,bar-color,skeleton-color,True,True,-1.8065293988302897,9.0,two-sided,0.10430675746157712,1.0,holm,1.024,-0.8763119247980634,1.0
loaderType,bar-color,spinner,True,True,-1.8606455955319823,9.0,two-sided,0.0957149139400727,1.0,holm,1.089,-0.8189964010652332,1.0
loaderType,bar-color,spinner-color,True,True,-0.6472374044004324,9.0,two-sided,0.5336369903101004,1.0,holm,0.369,-0.36156241547651996,1.0
loaderType,none,skeleton,True,True,1.0738286029630826,9.0,two-sided,0.3108453024112005,1.0,holm,0.493,0.4758350404487097,1.0
loaderType,none,skeleton-color,True,True,0.0434639384041608,9.0,two-sided,0.9662807451204085,1.0,holm,0.309,0.01753083524367817,1.0
loaderType,none,spinner,True,True,0.4566542981147722,9.0,two-sided,0.6587406522551389,1.0,holm,0.338,0.21703032999140118,1.0
loaderType,none,spinner-color,True,True,1.2844662759389376,9.0,two-sided,0.2310538873709901,1.0,holm,0.593,0.5970128367457038,1.0
loaderType,skeleton,skeleton-color,True,True,-1.0650086830810779,9.0,two-sided,0.3146089231882364,1.0,holm,0.49,-0.47888008822248224,1.0
loaderType,skeleton,spinner,True,True,-1.0,9.0,two-sided,0.34343639613791355,1.0,holm,0.465,-0.3173580192706475,1.0
loaderType,skeleton,spinner-color,True,True,0.650891789225123,9.0,two-sided,0.5313807943013648,1.0,holm,0.369,0.23035970165908284,1.0
loaderType,skeleton-color,spinner,True,True,0.588545765079581,9.0,two-sided,0.5706391474643089,1.0,holm,0.358,0.20590963578356244,1.0
loaderType,skeleton-color,spinner-color,True,True,1.5599398327009906,9.0,two-sided,0.1532055159245959,1.0,holm,0.781,0.6047138319527396,1.0
loaderType,spinner,spinner-color,True,True,1.2145077357058662,9.0,two-sided,0.25545720966091456,1.0,holm,0.557,0.47826123960659345,1.0
loaderType,bar,bar-color,True,True,-1.507815618489566,9.0,two-sided,0.16587345495232592,1.0,holm,0.74,-0.5628815743351847,2.5
loaderType,bar,none,True,True,-3.7763661805396556,9.0,two-sided,0.004373395786816427,0.08746791573632853,holm,12.097,-1.8591375372676935,2.5
loaderType,bar,skeleton,True,True,-0.8498778025495775,9.0,two-sided,0.41742744369106055,1.0,holm,0.417,-0.4172067814695962,2.5
loaderType,bar,skeleton-color,True,True,-2.130333610697011,9.0,two-sided,0.06198786106899577,0.9298179160349366,holm,1.5,-0.9587266755332996,2.5
loaderType,bar,spinner,True,True,-0.30373423688054757,9.0,two-sided,0.7682350343571401,1.0,holm,0.321,-0.1687498756801026,2.5
loaderType,bar,spinner-color,True,True,-1.2840231931039106,9.0,two-sided,0.2312021378529579,1.0,holm,0.593,-0.5177331232477663,2.5
loaderType,bar-color,none,True,True,-3.6042217484442216,9.0,two-sided,0.00571055883652447,0.10735852359318644,holm,9.738,-1.4286964994690106,2.5
loaderType,bar-color,skeleton,True,True,0.2584617467742009,9.0,two-sided,0.801864286817302,1.0,holm,0.318,0.14013200566179912,2.5
loaderType,bar-color,skeleton-color,True,True,-0.7948241666694409,9.0,two-sided,0.4471682196015484,1.0,holm,0.402,-0.3586530705446512,2.5
loaderType,bar-color,spinner,True,True,0.8893188413187592,9.0,two-sided,0.39697920444542456,1.0,holm,0.428,0.4288912561395101,2.5
loaderType,bar-color,spinner-color,True,True,0.07956363850845359,9.0,two-sided,0.9383253554193789,1.0,holm,0.31,0.037223342302223364,2.5
loaderType,none,skeleton,True,True,3.223174673319388,9.0,two-sided,0.010436154331107284,0.17741462362882382,holm,5.991,1.520249784116938,2.5
loaderType,none,skeleton-color,True,True,3.6110046205642465,9.0,two-sided,0.005650448610167708,0.10735852359318644,holm,9.822,1.2769384045938563,2.5
loaderType,none,spinner,True,True,5.17329378721415,9.0,two-sided,0.0005845776056384833,0.012276129718408151,holm,64.022,1.8237168703038928,2.5
loaderType,none,spinner-color,True,True,2.9068787028390797,9.0,two-sided,0.017399425755397376,0.278390812086358,holm,3.991,1.4375741073638248,2.5
loaderType,skeleton,skeleton-color,True,True,-1.2622336462858417,9.0,two-sided,0.23859088263322462,1.0,holm,0.581,-0.5037585105049233,2.5
loaderType,skeleton,spinner,True,True,0.6705948822670501,9.0,two-sided,0.5193145836429204,1.0,holm,0.373,0.2744115479472818,2.5
loaderType,skeleton,spinner-color,True,True,-0.3586679857334483,9.0,two-sided,0.728113058532822,1.0,holm,0.326,-0.10117373696448674,2.5
loaderType,skeleton-color,spinner,True,True,2.102949550086343,9.0,two-sided,0.06480730957691061,0.9298179160349366,holm,1.451,0.8558180719427595,2.5
loaderType,skeleton-color,spinner-color,True,True,1.1901554124878646,9.0,two-sided,0.26443135956424996,1.0,holm,0.545,0.3911003148636734,2.5
loaderType,spinner,spinner-color,True,True,-0.9474191272885906,9.0,two-sided,0.36816760738466214,1.0,holm,0.447,-0.38205200772289166,2.5
loaderType,bar,bar-color,True,True,1.0109947641945323,9.0,two-sided,0.3384255969683868,1.0,holm,0.469,0.4161571574147821,5.0
loaderType,bar,none,True,True,-0.717438207500545,9.0,two-sided,0.49130394226377905,1.0,holm,0.383,-0.35189427450522476,5.0
loaderType,bar,skeleton,True,True,2.158670591016079,9.0,two-sided,0.05919543040262422,1.0,holm,1.552,0.85126245924569,5.0
loaderType,bar,skeleton-color,True,True,1.3229688291952113,9.0,two-sided,0.21847124790559586,1.0,holm,0.615,0.58782400075378,5.0
loaderType,bar,spinner,True,True,1.7239710212066162,9.0,two-sided,0.11880352065536733,1.0,holm,0.933,0.7352339672874106,5.0
loaderType,bar,spinner-color,True,True,1.4443443032100955,9.0,two-sided,0.1825382452035073,1.0,holm,0.693,0.6218713042648563,5.0
loaderType,bar-color,none,True,True,-1.2592974745303498,9.0,two-sided,0.23960132496311226,1.0,holm,0.58,-0.6531674189625076,5.0
loaderType,bar-color,skeleton,True,True,0.9556857645198071,9.0,two-sided,0.36419504395925206,1.0,holm,0.449,0.39425522036678157,5.0
