Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,bar-color,True,True,-1.38051256064832,9.0,two-sided,0.20074622933012604,1.0,holm,0.65,-0.5377142392017618,1.0
loaderType,bar,none,True,True,-1.7278139718746757,9.0,two-sided,0.11808946960733428,1.0,holm,0.937,-0.8242537428667464,1.0
loaderType,bar,skeleton,True,True,-1.3524910724866255,9.0,two-sided,0.209218595187639,1.0,holm,0.633,-0.5305197346644807,1.0
loaderType,bar,skeleton-color,True,True,-1.6253479686290049,9.0,two-sided,0.13853376550127014,1.0,holm,0.837,-0.8050733876890858,1.0
loaderType,bar,spinner,True,True,-1.0918558780333678,9.0,two-sided,0.3032613246984826,1.0,holm,0.501,-0.514899444418077,1.0
loaderType,bar,spinner-color,True,True,-1.2502140368073313,9.0,two-sided,0.2427496789478328,1.0,holm,0.575,-0.6127124117080813,1.0
loaderType,bar-color,none,True,True,-0.512158306143421,9.0,two-sided,0.6208707963686084,1.0,holm,0.345,-0.24981516952669686,1.0
loaderType,bar-color,skeleton,True,True,0.3375118618743997,9.0,two-sided,0.7434694805053486,1.0,holm,0.324,0.12302699550734743,1.0
loaderType,bar-color,skeleton-color,True,True,-0.7154933822995232,9.0,two-sided,0.4924476962573817,1.0,holm,0.383,-0.3480041162926427,1.0
loaderType,bar-color,spinner,True,True,0.29440269406914626,9.0,two-sided,0.7751275722705165,1.0,holm,0.321,0.12877018991766265,1.0
loaderType,bar-color,spinner-color,True,True,0.38450945465083436,9.0,two-sided,0.7095287945453254,1.0,holm,0.329,0.19268164689776693,1.0
loaderType,none,skeleton,True,True,0.7224659544839345,9.0,two-sided,0.4883548893027032,1.0,holm,0.384,0.4076783831716583,1.0
loaderType,none,skeleton-color,True,True,-0.4825996549628028,9.0,two-sided,0.6409012806416621,1.0,holm,0.341,-0.13528839242397486,1.0
loaderType,none,spinner,True,True,0.9884246906004578,9.0,two-sided,0.3487716381508549,1.0,holm,0.461,0.411558370786197,1.0
loaderType,none,spinner-color,True,True,1.3397958608949392,9.0,two-sided,0.21315595672538873,1.0,holm,0.625,0.5079480368318126,1.0
loaderType,skeleton,skeleton-color,True,True,-0.9293422497686149,9.0,two-sided,0.3769645091618222,1.0,holm,0.441,-0.4794425053810071,1.0
loaderType,skeleton,spinner,True,True,0.019970581640286374,9.0,two-sided,0.9845025789219304,1.0,holm,0.309,0.008141739349833109,1.0
loaderType,skeleton,spinner-color,True,True,0.13907086928284274,9.0,two-sided,0.8924563646755365,1.0,holm,0.311,0.07306620816954652,1.0
loaderType,skeleton-color,spinner,True,True,1.0134633909917352,9.0,two-sided,0.33730813725971287,1.0,holm,0.47,0.4826719647538396,1.0
loaderType,skeleton-color,spinner-color,True,True,1.3656114710581486,9.0,two-sided,0.20521443826865873,1.0,holm,0.641,0.5537676475829764,1.0
loaderType,spinner,spinner-color,True,True,0.14495278720993396,9.0,two-sided,0.8879423948852313,1.0,holm,0.312,0.06199009778922243,1.0
loaderType,bar,bar-color,True,True,-0.6637340081759563,9.0,two-sided,0.5234972927877525,1.0,holm,0.372,-0.2856289874200031,2.5
loaderType,bar,none,True,True,-1.6126452648303553,9.0,two-sided,0.14128019374835532,1.0,holm,0.826,-0.7625337540796434,2.5
loaderType,bar,skeleton,True,True,-0.05256629471889897,9.0,two-sided,0.9592257488346763,1.0,holm,0.309,-0.02416243419795519,2.5
loaderType,bar,skeleton-color,True,True,-0.5314146135149065,9.0,two-sided,0.6079956137215865,1.0,holm,0.348,-0.30788529724131103,2.5
loaderType,bar,spinner,True,True,-0.6365960625336301,9.0,two-sided,0.5402391486914796,1.0,holm,0.366,-0.29104650034610746,2.5
