Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,bar-color,True,True,1.8249959894290328,9.0,two-sided,0.10129710495779234,1.0,holm,1.046,0.5776889622954563,1.0
loaderType,bar,none,True,True,4.154761254054192,9.0,two-sided,0.0024668512222134203,0.05180387566648183,holm,19.337,1.5015338508247627,1.0
loaderType,bar,skeleton,True,True,0.9893091326591668,9.0,two-sided,0.3483618152855027,1.0,holm,0.461,0.3000263672580557,1.0
loaderType,bar,skeleton-color,True,True,3.8235260752875497,9.0,two-sided,0.004067871448111876,0.08135742896223752,holm,12.833,1.509406543211079,1.0
loaderType,bar,spinner,True,True,2.8350838072249247,9.0,two-sided,0.019559445445059383,0.3520700180110689,holm,3.639,0.9906862333062357,1.0
loaderType,bar,spinner-color,True,True,2.444298635705265,9.0,two-sided,0.03710209796652421,0.5565314694978631,holm,2.213,0.613720976011396,1.0
loaderType,bar-color,none,True,True,2.1257955367915446,9.0,two-sided,0.062446754681298566,0.739156596071011,holm,1.491,1.1041315634050473,1.0
loaderType,bar-color,skeleton,True,True,-0.6767103151582053,9.0,two-sided,0.5156034517172075,1.0,holm,0.375,-0.22519180166196856,1.0
loaderType,bar-color,skeleton-color,True,True,2.7940018921128975,9.0,two-sided,0.020916613504641343,0.35558242957890285,holm,3.452,1.1069374428895136,1.0
loaderType,bar-color,spinner,True,True,1.2744464099718744,9.0,two-sided,0.2344258221116972,1.0,holm,0.588,0.5011900292662459,1.0
loaderType,bar-color,spinner-color,True,True,0.061517215149439974,9.0,two-sided,0.9522917785186615,1.0,holm,0.309,0.016002493734940115,1.0
loaderType,none,skeleton,True,True,-3.2242510458077502,9.0,two-sided,0.010418168660802626,0.1979452045552499,holm,5.999,-1.1805770989623523,1.0
loaderType,none,skeleton-color,True,True,-0.03426103280187231,9.0,two-sided,0.9734168249022853,1.0,holm,0.309,-0.01645673975084063,1.0
loaderType,none,spinner,True,True,-1.6214096402107405,9.0,two-sided,0.13938007028198196,1.0,holm,0.834,-0.6273069479420325,1.0
loaderType,none,spinner-color,True,True,-2.2589754882328967,9.0,two-sided,0.05026068126634442,0.6533888564624775,holm,1.756,-1.1247239314419224,1.0
loaderType,skeleton,skeleton-color,True,True,2.134230781125405,9.0,two-sided,0.061596383005917583,0.739156596071011,holm,1.507,1.182260278701836,1.0
loaderType,skeleton,spinner,True,True,2.3279806269207577,9.0,two-sided,0.04489533434548813,0.6285346808368338,holm,1.913,0.6473686721854697,1.0
loaderType,skeleton,spinner-color,True,True,0.7049629270318379,9.0,two-sided,0.49866970623196183,1.0,holm,0.381,0.24641018943337478,1.0
loaderType,skeleton-color,spinner,True,True,-1.2197297710943833,9.0,two-sided,0.2535654692188042,1.0,holm,0.559,-0.6202569420093343,1.0
loaderType,skeleton-color,spinner-color,True,True,-2.7687936295026567,9.0,two-sided,0.02179645947127693,0.35558242957890285,holm,3.343,-1.1287555356268306,1.0
loaderType,spinner,spinner-color,True,True,-1.2519173708951636,9.0,two-sided,0.24215671032098968,1.0,holm,0.576,-0.5067013903658832,1.0
loaderType,bar,bar-color,True,True,-0.6588183362656899,9.0,two-sided,0.5265065575518018,1.0,holm,0.371,-0.30690899954156037,2.5
loaderType,bar,none,True,True,2.9843182187803508,9.0,two-sided,0.015341694937258935,0.24546711899614296,holm,4.408,1.5197950012081105,2.5
loaderType,bar,skeleton,True,True,-0.835390443784452,9.0,two-sided,0.4251187252744858,1.0,holm,0.413,-0.29433611620379646,2.5
loaderType,bar,skeleton-color,True,True,2.455931676370634,9.0,two-sided,0.036400783266360065,0.4732101824626809,holm,2.245,0.9946428042881587,2.5
loaderType,bar,spinner,True,True,-0.057112098905974885,9.0,two-sided,0.9557037790085254,1.0,holm,0.309,-0.026741002188241516,2.5
loaderType,bar,spinner-color,True,True,-0.3624232324723911,9.0,two-sided,0.7254003737482019,1.0,holm,0.327,-0.19136361426819987,2.5
loaderType,bar-color,none,True,True,3.883934596291743,9.0,two-sided,0.0037090849204523785,0.0704726134885952,holm,13.838,1.7103009175963257,2.5
loaderType,bar-color,skeleton,True,True,0.1202827008652276,9.0,two-sided,0.9069016061501154,1.0,holm,0.311,0.06567531255252161,2.5
