Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
loaderType,bar,bar-color,True,True,-0.6673551923717641,9.0,two-sided,0.5212871237778307,1.0,holm,0.373,-0.2674805891932356
loaderType,bar,none,True,True,-3.4687946546614485,9.0,two-sided,0.007062173706116837,0.14830564782845357,holm,8.2,-1.5146299778592343
loaderType,bar,skeleton,True,True,-0.269093241587677,9.0,two-sided,0.7939252084591673,1.0,holm,0.319,-0.12596567196426658
loaderType,bar,skeleton-color,True,True,-1.63152535759153,9.0,two-sided,0.13721565112964043,1.0,holm,0.843,-0.7966826805356837
loaderType,bar,spinner,True,True,-0.3813465113897032,9.0,two-sided,0.7117929076263452,1.0,holm,0.329,-0.21336576662499662
loaderType,bar,spinner-color,True,True,-0.6526873552144731,9.0,two-sided,0.5302743052078284,1.0,holm,0.37,-0.30573202392255233
loaderType,bar-color,none,True,True,-2.9743768592921342,9.0,two-sided,0.015591240691631477,0.2962335731409981,holm,4.352,-1.354955067598362
loaderType,bar-color,skeleton,True,True,0.32646422744633335,9.0,two-sided,0.7515369471440907,1.0,holm,0.323,0.16396906141302833
loaderType,bar-color,skeleton-color,True,True,-1.1033085365603732,9.0,two-sided,0.29851866195339255,1.0,holm,0.505,-0.5510908122968421
loaderType,bar-color,spinner,True,True,0.19220226165098026,9.0,two-sided,0.8518505661541335,1.0,holm,0.314,0.09095104958414083
loaderType,bar-color,spinner-color,True,True,-0.022923502294120084,9.0,two-sided,0.9822114927814072,1.0,holm,0.309,-0.010336436369098005
loaderType,none,skeleton,True,True,2.8274852495488894,9.0,two-sided,0.019803528717824412,0.35646351692083944,holm,3.604,1.5153198348723822
loaderType,none,skeleton-color,True,True,2.42133225790039,9.0,two-sided,0.03852636317937181,0.616421810869949,holm,2.15,0.9967636627166568
loaderType,none,spinner,True,True,3.1674459148883294,9.0,two-sided,0.011412744422383303,0.22825488844766606,holm,5.577,1.5150151881841836
loaderType,none,spinner-color,True,True,2.6191632822647763,9.0,two-sided,0.027849122355741215,0.47343508004760065,holm,2.761,1.4380352896189235
loaderType,skeleton,skeleton-color,True,True,-1.6508011038533414,9.0,two-sided,0.13317522153259362,1.0,holm,0.861,-0.7587165502119071
loaderType,skeleton,spinner,True,True,-0.28131025283477956,9.0,two-sided,0.7848330632295217,1.0,holm,0.32,-0.09110934884526825
loaderType,skeleton,spinner-color,True,True,-0.8104550677276615,9.0,two-sided,0.43858285843095624,1.0,holm,0.406,-0.19786979402265847
loaderType,skeleton-color,spinner,True,True,1.7153654916025303,9.0,two-sided,0.1204168943927205,1.0,holm,0.924,0.733878879500257
loaderType,skeleton-color,spinner-color,True,True,1.3141469950408324,9.0,two-sided,0.22130222369417438,1.0,holm,0.61,0.6199066519343924
loaderType,spinner,spinner-color,True,True,-0.42159210228195737,9.0,two-sided,0.6832137188504643,1.0,holm,0.333,-0.11833810038837209
