Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
loaderType,bar,bar-color,True,True,-0.1932782851145572,9.0,two-sided,0.8510325198415294,1.0,holm,0.314,-0.04921143922541601
loaderType,bar,none,True,True,4.169846091161416,9.0,two-sided,0.0024121695643125334,0.048243391286250666,holm,19.697,2.202171110695616
loaderType,bar,skeleton,True,True,0.4135855341214832,9.0,two-sided,0.6888588631495861,1.0,holm,0.332,0.17288418517335374
loaderType,bar,skeleton-color,True,True,3.7329247664349463,9.0,two-sided,0.004676295476530805,0.07129629244446446,holm,11.455,1.7055318742742027
loaderType,bar,spinner,True,True,1.2818266574836317,9.0,two-sided,0.23193824407884556,1.0,holm,0.592,0.6589864048475614
loaderType,bar,spinner-color,True,True,0.9396869166211943,9.0,two-sided,0.3719119145607025,1.0,holm,0.444,0.46332377200547975
loaderType,bar-color,none,True,True,4.55451917754605,9.0,two-sided,0.0013770120757540508,0.028917253590835065,holm,31.313,2.2898658252885205
loaderType,bar-color,skeleton,True,True,0.48460544769513547,9.0,two-sided,0.6395320386058885,1.0,holm,0.341,0.23088286880779885
loaderType,bar-color,skeleton-color,True,True,4.034076938606878,9.0,two-sided,0.002954796830887035,0.05318634295596663,holm,16.671,1.8040725635271804
loaderType,bar-color,spinner,True,True,1.441763891460005,9.0,two-sided,0.183245591977512,1.0,holm,0.691,0.7298530735394299
loaderType,bar-color,spinner-color,True,True,1.0842416827062273,9.0,two-sided,0.30644682580414595,1.0,holm,0.497,0.5389316617947412
loaderType,none,skeleton,True,True,-4.129664753220563,9.0,two-sided,0.002560767247552933,0.04865457770350572,holm,18.752,-2.1275137778606794
loaderType,none,skeleton-color,True,True,-2.1120525829685133,9.0,two-sided,0.06385658599831305,0.7662790319797566,holm,1.467,-0.7215585546851692
loaderType,none,spinner,True,True,-3.7642091493209238,9.0,two-sided,0.004456018277779029,0.07129629244446446,holm,11.914,-1.6567138688303145
loaderType,none,spinner-color,True,True,-3.919542199465982,9.0,two-sided,0.0035134132439738346,0.05972802514755519,holm,14.466,-2.00614625146843
loaderType,skeleton,skeleton-color,True,True,2.8501148042982924,9.0,two-sided,0.01908561184810544,0.2481129540253707,holm,3.71,1.6105015432126863
loaderType,skeleton,spinner,True,True,1.480631431320101,9.0,two-sided,0.17284011502175164,1.0,holm,0.719,0.5164542100696864
loaderType,skeleton,spinner-color,True,True,1.0562717966406256,9.0,two-sided,0.3183716647883315,1.0,holm,0.486,0.293794487795368
loaderType,skeleton-color,spinner,True,True,-1.9835813310201533,9.0,two-sided,0.0786050501110464,0.8646555512215104,holm,1.258,-1.0685419858702154
loaderType,skeleton-color,spinner-color,True,True,-3.1425898137458868,9.0,two-sided,0.011878392121609734,0.16629748970253627,holm,5.402,-1.4531324809839095
loaderType,spinner,spinner-color,True,True,-0.7604606877217344,9.0,two-sided,0.4664336950934638,1.0,holm,0.393,-0.2777894419382032
