group1,group2,meandiff,p-adj,lower,upper,reject,simulatedLoadingTime_sec
bar,bar-color,0.3052,0.8477,-0.4079,1.0183,False,1.0
bar,none,0.8236,0.0136,0.1105,1.5367,True,1.0
bar,skeleton,0.5419,0.2534,-0.1711,1.255,False,1.0
bar,skeleton-color,0.8106,0.016,0.0975,1.5237,True,1.0
bar,spinner,0.6814,0.0702,-0.0317,1.3945,False,1.0
bar,spinner-color,0.453,0.4658,-0.2601,1.1661,False,1.0
bar-color,none,0.5184,0.303,-0.1947,1.2314,False,1.0
bar-color,skeleton,0.2367,0.9496,-0.4764,0.9498,False,1.0
bar-color,skeleton-color,0.5054,0.3326,-0.2077,1.2184,False,1.0
bar-color,spinner,0.3762,0.6786,-0.3369,1.0893,False,1.0
bar-color,spinner-color,0.1478,0.9955,-0.5653,0.8609,False,1.0
none,skeleton,-0.2816,0.8905,-0.9947,0.4314,False,1.0
none,skeleton-color,-0.013,1.0,-0.7261,0.7001,False,1.0
none,spinner,-0.1422,0.9964,-0.8553,0.5709,False,1.0
none,spinner-color,-0.3706,0.6935,-1.0837,0.3425,False,1.0
skeleton,skeleton-color,0.2686,0.9106,-0.4445,0.9817,False,1.0
skeleton,spinner,0.1394,0.9967,-0.5736,0.8525,False,1.0
skeleton,spinner-color,-0.089,0.9997,-0.802,0.6241,False,1.0
skeleton-color,spinner,-0.1292,0.9979,-0.8423,0.5839,False,1.0
skeleton-color,spinner-color,-0.3576,0.7275,-1.0707,0.3555,False,1.0
spinner,spinner-color,-0.2284,0.9575,-0.9415,0.4847,False,1.0
bar,bar-color,0.3912,0.8177,-0.4814,1.2638,False,2.5
bar,none,1.4196,0.0001,0.5471,2.2922,True,2.5
bar,skeleton,0.2978,0.9427,-0.5748,1.1703,False,2.5
bar,skeleton-color,0.5936,0.3817,-0.279,1.4661,False,2.5
bar,spinner,0.1164,0.9996,-0.7562,0.9889,False,2.5
bar,spinner-color,0.3666,0.8586,-0.5059,1.2392,False,2.5
bar-color,none,1.0284,0.011,0.1559,1.901,True,2.5
bar-color,skeleton,-0.0934,0.9999,-0.966,0.7791,False,2.5
bar-color,skeleton-color,0.2024,0.9917,-0.6702,1.0749,False,2.5
bar-color,spinner,-0.2748,0.9608,-1.1474,0.5977,False,2.5
bar-color,spinner-color,-0.0246,1.0,-0.8972,0.848,False,2.5
none,skeleton,-1.1219,0.004,-1.9944,-0.2493,True,2.5
none,skeleton-color,-0.826,0.075,-1.6986,0.0465,False,2.5
none,spinner,-1.3033,0.0005,-2.1758,-0.4307,True,2.5
none,spinner-color,-1.053,0.0085,-1.9256,-0.1805,True,2.5
skeleton,skeleton-color,0.2958,0.9444,-0.5767,1.1684,False,2.5
skeleton,spinner,-0.1814,0.9954,-1.054,0.6912,False,2.5
skeleton,spinner-color,0.0688,1.0,-0.8037,0.9414,False,2.5
skeleton-color,spinner,-0.4772,0.6409,-1.3498,0.3953,False,2.5
skeleton-color,spinner-color,-0.227,0.9849,-1.0995,0.6456,False,2.5
spinner,spinner-color,0.2502,0.9752,-0.6223,1.1228,False,2.5
bar,bar-color,-0.3378,0.9638,-1.4284,0.7527,False,5.0
bar,none,0.354,0.9547,-0.7365,1.4446,False,5.0
bar,skeleton,-0.6779,0.4924,-1.7685,0.4127,False,5.0
bar,skeleton-color,-0.3948,0.9251,-1.4853,0.6958,False,5.0
bar,spinner,-0.5405,0.7381,-1.6311,0.55,False,5.0
bar,spinner-color,-0.4494,0.8693,-1.54,0.6411,False,5.0
bar-color,none,0.6919,0.4674,-0.3987,1.7824,False,5.0
bar-color,skeleton,-0.3401,0.9626,-1.4306,0.7505,False,5.0
bar-color,skeleton-color,-0.0569,1.0,-1.1475,1.0336,False,5.0
bar-color,spinner,-0.2027,0.9975,-1.2933,0.8878,False,5.0
bar-color,spinner-color,-0.1116,0.9999,-1.2022,0.979,False,5.0
none,skeleton,-1.0319,0.0753,-2.1225,0.0586,False,5.0
none,skeleton-color,-0.7488,0.3705,-1.8394,0.3418,False,5.0
none,spinner,-0.8946,0.1776,-1.9851,0.196,False,5.0
none,spinner-color,-0.8035,0.2877,-1.894,0.2871,False,5.0
skeleton,skeleton-color,0.2831,0.9851,-0.8075,1.3737,False,5.0
skeleton,spinner,0.1373,0.9997,-0.9532,1.2279,False,5.0
skeleton,spinner-color,0.2285,0.9952,-0.8621,1.319,False,5.0
skeleton-color,spinner,-0.1458,0.9996,-1.2363,0.9448,False,5.0
skeleton-color,spinner-color,-0.0546,1.0,-1.1452,1.0359,False,5.0
spinner,spinner-color,0.0911,1.0,-0.9994,1.1817,False,5.0
