group1,group2,meandiff,p-adj,lower,upper,reject,simulatedLoadingTime_sec
bar,bar-color,-0.3466,0.8815,-1.208,0.5148,False,1.0
bar,none,-1.0875,0.005,-1.9489,-0.2262,True,1.0
bar,skeleton,-0.2053,0.9905,-1.0667,0.6561,False,1.0
bar,skeleton-color,-1.0748,0.0058,-1.9362,-0.2134,True,1.0
bar,spinner,-0.6404,0.2776,-1.5018,0.221,False,1.0
bar,spinner-color,-0.3548,0.8696,-1.2162,0.5066,False,1.0
bar-color,none,-0.7409,0.1375,-1.6023,0.1205,False,1.0
bar-color,skeleton,0.1413,0.9988,-0.72,1.0027,False,1.0
bar-color,skeleton-color,-0.7282,0.1515,-1.5896,0.1332,False,1.0
bar-color,spinner,-0.2938,0.9429,-1.1551,0.5676,False,1.0
bar-color,spinner-color,-0.0082,1.0,-0.8695,0.8532,False,1.0
none,skeleton,0.8822,0.0413,0.0209,1.7436,True,1.0
none,skeleton-color,0.0127,1.0,-0.8487,0.8741,False,1.0
none,spinner,0.4472,0.6946,-0.4142,1.3085,False,1.0
none,spinner-color,0.7328,0.1464,-0.1286,1.5941,False,1.0
skeleton,skeleton-color,-0.8695,0.0464,-1.7309,-0.0082,True,1.0
skeleton,spinner,-0.4351,0.7208,-1.2965,0.4263,False,1.0
skeleton,spinner-color,-0.1495,0.9983,-1.0109,0.7119,False,1.0
skeleton-color,spinner,0.4344,0.7222,-0.4269,1.2958,False,1.0
skeleton-color,spinner-color,0.72,0.161,-0.1413,1.5814,False,1.0
spinner,spinner-color,0.2856,0.9499,-0.5758,1.147,False,1.0
bar,bar-color,0.2009,0.9865,-0.5878,0.9896,False,2.5
bar,none,-1.1313,0.0009,-1.92,-0.3426,True,2.5
bar,skeleton,0.1618,0.9957,-0.6269,0.9505,False,2.5
bar,skeleton-color,-0.5869,0.2766,-1.3756,0.2018,False,2.5
bar,spinner,0.015,1.0,-0.7737,0.8037,False,2.5
bar,spinner-color,0.0998,0.9997,-0.6889,0.8885,False,2.5
bar-color,none,-1.3322,0.0001,-2.1209,-0.5435,True,2.5
bar-color,skeleton,-0.0391,1.0,-0.8278,0.7496,False,2.5
bar-color,skeleton-color,-0.7878,0.0504,-1.5765,0.0009,False,2.5
bar-color,spinner,-0.1859,0.991,-0.9746,0.6028,False,2.5
bar-color,spinner-color,-0.1011,0.9997,-0.8898,0.6876,False,2.5
none,skeleton,1.2931,0.0001,0.5044,2.0818,True,2.5
none,skeleton-color,0.5444,0.3641,-0.2443,1.3331,False,2.5
none,spinner,1.1462,0.0007,0.3575,1.935,True,2.5
none,spinner-color,1.2311,0.0002,0.4424,2.0198,True,2.5
skeleton,skeleton-color,-0.7487,0.0736,-1.5374,0.04,False,2.5
skeleton,spinner,-0.1468,0.9975,-0.9355,0.6419,False,2.5
skeleton,spinner-color,-0.062,1.0,-0.8507,0.7267,False,2.5
skeleton-color,spinner,0.6019,0.2491,-0.1868,1.3906,False,2.5
skeleton-color,spinner-color,0.6867,0.1283,-0.102,1.4754,False,2.5
spinner,spinner-color,0.0848,0.9999,-0.7039,0.8735,False,2.5
bar,bar-color,0.2024,0.9978,-0.9073,1.3122,False,5.0
bar,none,-1.0167,0.0937,-2.1264,0.0931,False,5.0
bar,skeleton,-0.1538,0.9995,-1.2635,0.956,False,5.0
bar,skeleton-color,-0.477,0.8452,-1.5868,0.6327,False,5.0
bar,spinner,-0.1653,0.9993,-1.2751,0.9444,False,5.0
bar,spinner-color,-0.2378,0.9946,-1.3476,0.8719,False,5.0
bar-color,none,-1.2191,0.0223,-2.3288,-0.1093,True,5.0
bar-color,skeleton,-0.3562,0.9571,-1.4659,0.7536,False,5.0
bar-color,skeleton-color,-0.6795,0.5108,-1.7892,0.4303,False,5.0
bar-color,spinner,-0.3678,0.95,-1.4775,0.742,False,5.0
bar-color,spinner-color,-0.4402,0.8884,-1.55,0.6695,False,5.0
none,skeleton,0.8629,0.2294,-0.2469,1.9726,False,5.0
none,skeleton-color,0.5396,0.7549,-0.5701,1.6494,False,5.0
none,spinner,0.8513,0.2435,-0.2584,1.9611,False,5.0
none,spinner-color,0.7788,0.3442,-0.3309,1.8886,False,5.0
skeleton,skeleton-color,-0.3233,0.9732,-1.433,0.7865,False,5.0
skeleton,spinner,-0.0116,1.0,-1.1213,1.0982,False,5.0
skeleton,spinner-color,-0.0841,1.0,-1.1938,1.0257,False,5.0
skeleton-color,spinner,0.3117,0.9777,-0.7981,1.4214,False,5.0
skeleton-color,spinner-color,0.2392,0.9944,-0.8705,1.349,False,5.0
spinner,spinner-color,-0.0725,1.0,-1.1822,1.0373,False,5.0
