group1,group2,meandiff,p-adj,lower,upper,reject
bar,bar-color,0.1195,0.999,-0.6119,0.851,False
bar,none,0.8657,0.0093,0.1343,1.5972,True
bar,skeleton,0.0539,1.0,-0.6775,0.7854,False
bar,skeleton-color,0.3365,0.8172,-0.395,1.0679,False
bar,spinner,0.0857,0.9999,-0.6457,0.8172,False
bar,spinner-color,0.1234,0.9988,-0.6081,0.8549,False
bar-color,none,0.7462,0.0422,0.0147,1.4777,True
bar-color,skeleton,-0.0656,1.0,-0.7971,0.6659,False
bar-color,skeleton-color,0.2169,0.9747,-0.5145,0.9484,False
bar-color,spinner,-0.0338,1.0,-0.7653,0.6977,False
bar-color,spinner-color,0.0039,1.0,-0.7276,0.7353,False
none,skeleton,-0.8118,0.019,-1.5433,-0.0803,True
none,skeleton-color,-0.5293,0.3249,-1.2608,0.2022,False
none,spinner,-0.78,0.0282,-1.5115,-0.0485,True
none,spinner-color,-0.7424,0.0442,-1.4738,-0.0109,True
skeleton,skeleton-color,0.2825,0.9115,-0.449,1.014,False
skeleton,spinner,0.0318,1.0,-0.6997,0.7633,False
skeleton,spinner-color,0.0694,1.0,-0.662,0.8009,False
skeleton-color,spinner,-0.2507,0.9488,-0.9822,0.4807,False
skeleton-color,spinner-color,-0.2131,0.9769,-0.9445,0.5184,False
spinner,spinner-color,0.0377,1.0,-0.6938,0.7691,False
