Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,bar-color,True,True,-1.8739839672579914,9.0,two-sided,0.09370139729302615,1.0,holm,1.106,-0.6662816713768347,1.0
loaderType,bar,none,True,True,-3.378361071912158,9.0,two-sided,0.008148136201606333,0.17111086023373298,holm,7.307,-1.2586604031601287,1.0
loaderType,bar,skeleton,True,True,-2.7360064249920852,9.0,two-sided,0.02299736872879382,0.4599473745758764,holm,3.205,-1.236974744025593,1.0
loaderType,bar,skeleton-color,True,True,-2.4037370958934843,9.0,two-sided,0.03965416350880273,0.7534291066672518,holm,2.103,-1.2938292387075794,1.0
loaderType,bar,spinner,True,True,-2.3358310621359504,9.0,two-sided,0.044321869285901476,0.7977936471462266,holm,1.931,-1.3091742362415466,1.0
loaderType,bar,spinner-color,True,True,-1.9501977599981875,9.0,two-sided,0.08294037141837993,1.0,holm,1.209,-0.9508504958530885,1.0
loaderType,bar-color,none,True,True,-1.8021315740200035,9.0,two-sided,0.10503567347946441,1.0,holm,1.019,-0.8542391917137152,1.0
loaderType,bar-color,skeleton,True,True,-1.3957851508252563,9.0,two-sided,0.19625325299282972,1.0,holm,0.66,-0.6515168505550998,1.0
loaderType,bar-color,skeleton-color,True,True,-1.8065293988302897,9.0,two-sided,0.10430675746157712,1.0,holm,1.024,-0.8763119247980632,1.0
loaderType,bar-color,spinner,True,True,-1.860645595531982,9.0,two-sided,0.0957149139400727,1.0,holm,1.089,-0.8189964010652331,1.0
loaderType,bar-color,spinner-color,True,True,-0.6472374044004326,9.0,two-sided,0.5336369903101001,1.0,holm,0.369,-0.36156241547652024,1.0
loaderType,none,skeleton,True,True,1.073828602963083,9.0,two-sided,0.31084530241120045,1.0,holm,0.493,0.4758350404487097,1.0
loaderType,none,skeleton-color,True,True,0.04346393840416095,9.0,two-sided,0.9662807451204085,1.0,holm,0.309,0.01753083524367832,1.0
loaderType,none,spinner,True,True,0.4566542981147725,9.0,two-sided,0.6587406522551387,1.0,holm,0.338,0.21703032999140118,1.0
