Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,bar,bar-color,True,True,1.8249959894290326,9.0,two-sided,0.10129710495779237,1.0,holm,1.046,0.5776889622954559,1.0
loaderType,bar,none,True,True,4.1547612540541925,9.0,two-sided,0.0024668512222134177,0.05180387566648177,holm,19.337,1.5015338508247624,1.0
loaderType,bar,skeleton,True,True,0.9893091326591668,9.0,two-sided,0.3483618152855027,1.0,holm,0.461,0.3000263672580553,1.0
loaderType,bar,skeleton-color,True,True,3.8235260752875506,9.0,two-sided,0.004067871448111869,0.08135742896223737,holm,12.833,1.5094065432110786,1.0
loaderType,bar,spinner,True,True,2.8350838072249243,9.0,two-sided,0.019559445445059397,0.35207001801106913,holm,3.639,0.9906862333062355,1.0
loaderType,bar,spinner-color,True,True,2.4442986357052656,9.0,two-sided,0.03710209796652421,0.5565314694978631,holm,2.213,0.6137209760113956,1.0
loaderType,bar-color,none,True,True,2.125795536791545,9.0,two-sided,0.06244675468129848,0.739156596071011,holm,1.491,1.1041315634050473,1.0
loaderType,bar-color,skeleton,True,True,-0.6767103151582055,9.0,two-sided,0.5156034517172075,1.0,holm,0.375,-0.22519180166196856,1.0
loaderType,bar-color,skeleton-color,True,True,2.794001892112898,9.0,two-sided,0.020916613504641322,0.35558242957890246,holm,3.452,1.1069374428895136,1.0
loaderType,bar-color,spinner,True,True,1.2744464099718746,9.0,two-sided,0.2344258221116972,1.0,holm,0.588,0.5011900292662459,1.0
loaderType,bar-color,spinner-color,True,True,0.061517215149439974,9.0,two-sided,0.9522917785186615,1.0,holm,0.309,0.016002493734940115,1.0
loaderType,none,skeleton,True,True,-3.2242510458077502,9.0,two-sided,0.010418168660802626,0.1979452045552499,holm,5.999,-1.1805770989623523,1.0
loaderType,none,skeleton-color,True,True,-0.034261032801872246,9.0,two-sided,0.9734168249022854,1.0,holm,0.309,-0.016456739750840638,1.0
loaderType,none,spinner,True,True,-1.6214096402107407,9.0,two-sided,0.13938007028198185,1.0,holm,0.834,-0.6273069479420325,1.0
loaderType,none,spinner-color,True,True,-2.2589754882328967,9.0,two-sided,0.05026068126634442,0.6533888564624775,holm,1.756,-1.1247239314419224,1.0
loaderType,skeleton,skeleton-color,True,True,2.134230781125405,9.0,two-sided,0.061596383005917583,0.739156596071011,holm,1.507,1.1822602787018357,1.0
loaderType,skeleton,spinner,True,True,2.3279806269207577,9.0,two-sided,0.04489533434548813,0.6285346808368338,holm,1.913,0.6473686721854697,1.0
loaderType,skeleton,spinner-color,True,True,0.7049629270318379,9.0,two-sided,0.49866970623196183,1.0,holm,0.381,0.24641018943337478,1.0
loaderType,skeleton-color,spinner,True,True,-1.219729771094383,9.0,two-sided,0.25356546921880435,1.0,holm,0.559,-0.6202569420093343,1.0
