Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
loaderType,bar,bar-color,True,True,-0.17051506056120036,8.0,two-sided,0.8688386387021385,1.0,holm,0.326,-0.06925107544385552
loaderType,bar,none,True,True,-3.018257655320853,8.0,two-sided,0.016603458894852367,0.3486726367918997,holm,4.262,-1.3300692706711954
loaderType,bar,skeleton,True,True,-0.038001895196999064,8.0,two-sided,0.9706173645918943,1.0,holm,0.322,-0.021171783778873944
loaderType,bar,skeleton-color,True,True,-1.1555546529269896,8.0,two-sided,0.28120696709523096,1.0,holm,0.546,-0.5629580926532428
loaderType,bar,spinner,True,True,0.3112620170541231,8.0,two-sided,0.7635578240971359,1.0,holm,0.335,0.17512560735625932
loaderType,bar,spinner-color,True,True,-0.18164950485898232,8.0,two-sided,0.8603759254969414,1.0,holm,0.326,-0.09040522594508855
loaderType,bar-color,none,True,True,-2.5962904049548086,8.0,two-sided,0.031800631493313386,0.6042119983729544,holm,2.574,-1.24277260261744
loaderType,bar-color,skeleton,True,True,0.0969002398662603,8.0,two-sided,0.9251892299045478,1.0,holm,0.323,0.0511776724422561
loaderType,bar-color,skeleton-color,True,True,-0.870116718976062,8.0,two-sided,0.40958413986800923,1.0,holm,0.438,-0.45960616663628534
loaderType,bar-color,spinner,True,True,0.4780870878839603,8.0,two-sided,0.6453792769374435,1.0,holm,0.354,0.24302984716643086
loaderType,bar-color,spinner-color,True,True,-0.02278163363664513,8.0,two-sided,0.9823824435547455,1.0,holm,0.322,-0.010775177209046126
loaderType,none,skeleton,True,True,2.3888226743661742,8.0,two-sided,0.043936489847048975,0.7908568172468815,holm,2.012,1.3356659579257602
loaderType,none,skeleton-color,True,True,2.19619747867768,8.0,two-sided,0.059344749277894286,0.9495159884463086,holm,1.606,0.9625726928226173
loaderType,none,spinner,True,True,2.990650590158317,8.0,two-sided,0.017316757175277992,0.3486726367918997,holm,4.124,1.5528202376476297
loaderType,none,spinner-color,True,True,2.283149385956362,8.0,two-sided,0.05181598081338931,0.8808716738276183,holm,1.777,1.3190068072909127
loaderType,skeleton,skeleton-color,True,True,-1.2129909848259264,8.0,two-sided,0.2597318356890925,1.0,holm,0.573,-0.5598495417423446
loaderType,skeleton,spinner,True,True,1.144715331095342,8.0,two-sided,0.28541762944477117,1.0,holm,0.541,0.20834102296290033
loaderType,skeleton,spinner-color,True,True,-0.3102187646331401,8.0,two-sided,0.7643222670247347,1.0,holm,0.335,-0.07072047145392762
loaderType,skeleton-color,spinner,True,True,1.7365779591331072,8.0,two-sided,0.12067024859903723,1.0,holm,0.959,0.8631079256949734
loaderType,skeleton-color,spinner-color,True,True,1.0366474161465686,8.0,two-sided,0.33021583832738977,1.0,holm,0.495,0.5174894966304829
loaderType,spinner,spinner-color,True,True,-1.1993751730328457,8.0,two-sided,0.2646966402548775,1.0,holm,0.566,-0.30681284740847214
