Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
loaderType,bar,bar-color,True,True,-0.1932782851145572,9.0,two-sided,0.8510325198415294,1.0,holm,0.314,-0.04921143922541616
loaderType,bar,none,True,True,4.169846091161418,9.0,two-sided,0.0024121695643125286,0.048243391286250575,holm,19.697,2.2021711106956166
loaderType,bar,skeleton,True,True,0.4135855341214832,9.0,two-sided,0.6888588631495861,1.0,holm,0.332,0.1728841851733535
loaderType,bar,skeleton-color,True,True,3.7329247664349468,9.0,two-sided,0.004676295476530801,0.07129629244446446,holm,11.455,1.7055318742742027
loaderType,bar,spinner,True,True,1.281826657483632,9.0,two-sided,0.23193824407884556,1.0,holm,0.592,0.6589864048475611
loaderType,bar,spinner-color,True,True,0.9396869166211942,9.0,two-sided,0.3719119145607026,1.0,holm,0.444,0.4633237720054796
loaderType,bar-color,none,True,True,4.554519177546051,9.0,two-sided,0.001377012075754048,0.028917253590835006,holm,31.313,2.289865825288521
loaderType,bar-color,skeleton,True,True,0.4846054476951355,9.0,two-sided,0.6395320386058885,1.0,holm,0.341,0.2308828688077987
loaderType,bar-color,skeleton-color,True,True,4.034076938606878,9.0,two-sided,0.002954796830887035,0.05318634295596663,holm,16.671,1.8040725635271806
loaderType,bar-color,spinner,True,True,1.4417638914600048,9.0,two-sided,0.183245591977512,1.0,holm,0.691,0.7298530735394297
loaderType,bar-color,spinner-color,True,True,1.0842416827062273,9.0,two-sided,0.30644682580414595,1.0,holm,0.497,0.5389316617947412
loaderType,none,skeleton,True,True,-4.129664753220562,9.0,two-sided,0.002560767247552937,0.04865457770350581,holm,18.752,-2.12751377786068
loaderType,none,skeleton-color,True,True,-2.1120525829685133,9.0,two-sided,0.06385658599831305,0.7662790319797566,holm,1.467,-0.7215585546851695
loaderType,none,spinner,True,True,-3.7642091493209233,9.0,two-sided,0.004456018277779029,0.07129629244446446,holm,11.914,-1.6567138688303147
loaderType,none,spinner-color,True,True,-3.919542199465982,9.0,two-sided,0.0035134132439738346,0.05972802514755519,holm,14.466,-2.0061462514684303
loaderType,skeleton,skeleton-color,True,True,2.8501148042982916,9.0,two-sided,0.019085611848105484,0.24811295402537129,holm,3.71,1.6105015432126863
loaderType,skeleton,spinner,True,True,1.480631431320101,9.0,two-sided,0.17284011502175164,1.0,holm,0.719,0.5164542100696864
loaderType,skeleton,spinner-color,True,True,1.0562717966406256,9.0,two-sided,0.3183716647883315,1.0,holm,0.486,0.293794487795368
loaderType,skeleton-color,spinner,True,True,-1.9835813310201533,9.0,two-sided,0.0786050501110464,0.8646555512215104,holm,1.258,-1.0685419858702154
loaderType,skeleton-color,spinner-color,True,True,-3.142589813745886,9.0,two-sided,0.011878392121609748,0.16629748970253647,holm,5.402,-1.4531324809839095
loaderType,spinner,spinner-color,True,True,-0.760460687721734,9.0,two-sided,0.4664336950934642,1.0,holm,0.393,-0.2777894419382032
