Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges
loaderType,bar,bar-color,True,True,-0.9057603488468999,8.0,two-sided,0.39152538898478273,1.0,holm,0.449,-0.23067018834788255
loaderType,bar,none,True,True,4.139617947411241,8.0,two-sided,0.0032550930540207377,0.06835695413443549,holm,15.66,2.1151857916772547
loaderType,bar,skeleton,True,True,0.09197518148308945,8.0,two-sided,0.9289792060467369,1.0,holm,0.323,0.04704034143951954
loaderType,bar,skeleton-color,True,True,3.32642928967687,8.0,two-sided,0.010439709453674105,0.16703535125878569,holm,6.145,1.592893449638511
loaderType,bar,spinner,True,True,0.7294478497155904,8.0,two-sided,0.48653323476943744,1.0,holm,0.401,0.35416174839631653
loaderType,bar,spinner-color,True,True,0.4144161915096757,8.0,two-sided,0.689458352794819,1.0,holm,0.346,0.21861392885640646
loaderType,bar-color,none,True,True,4.109909442217414,8.0,two-sided,0.003391058093483999,0.06835695413443549,holm,15.149,2.126795638983904
loaderType,bar-color,skeleton,True,True,0.4823044435029293,8.0,two-sided,0.6425090970692685,1.0,holm,0.355,0.25169290087900714
loaderType,bar-color,skeleton-color,True,True,3.5029142668216418,8.0,two-sided,0.008044651966312747,0.14480373539362945,holm,7.56,1.6352328207498301
loaderType,bar-color,spinner,True,True,1.003657147616508,8.0,two-sided,0.34493176140739995,1.0,holm,0.483,0.5198520110763567
loaderType,bar-color,spinner-color,True,True,0.7923240031338743,8.0,two-sided,0.45102561109755146,1.0,holm,0.417,0.41108105962218416
loaderType,none,skeleton,True,True,-3.7206760752743415,8.0,two-sided,0.005865703878980202,0.11144837370062384,holm,9.735,-1.9577736901832536
loaderType,none,skeleton-color,True,True,-1.6663767956440823,8.0,two-sided,0.13419928444214183,1.0,holm,0.89,-0.5803913294548635
loaderType,none,spinner,True,True,-3.2866100302636743,8.0,two-sided,0.011077942468438063,0.16703535125878569,holm,5.863,-1.7022429369226417
loaderType,none,spinner-color,True,True,-3.394613299849884,8.0,two-sided,0.009435337537965183,0.16040073814540812,holm,6.659,-1.907070872108327
loaderType,skeleton,skeleton-color,True,True,2.4233561081644655,8.0,two-sided,0.041631529071414194,0.5412098779283845,holm,2.096,1.4440170702926567
loaderType,skeleton,spinner,True,True,0.9774368453238304,8.0,two-sided,0.3569806554880188,1.0,holm,0.473,0.28094638678338985
loaderType,skeleton,spinner-color,True,True,0.5747917084260935,8.0,two-sided,0.5812320309197361,1.0,holm,0.37,0.15062038034375072
loaderType,skeleton-color,spinner,True,True,-2.020995157132539,8.0,two-sided,0.07793823700589769,0.9352588440707723,holm,1.313,-1.1718935547943443
loaderType,skeleton-color,spinner-color,True,True,-2.82887043967863,8.0,two-sided,0.022188757116921868,0.31064259963690616,holm,3.399,-1.3741831532761213
loaderType,spinner,spinner-color,True,True,-0.387013499393526,8.0,two-sided,0.7088380372734107,1.0,holm,0.343,-0.14910914558124547
