trial,rageClicks,mouseDistance,taskDuration,loaderType,simulatedLoadingTime
1,0,4718.8975758881825,15513.799999952316,bar-color,5000
2,0,4481.347443739152,16390.200000047684,bar,5000
3,0,3666.4329818288793,10542,none,1500
4,0,5365.4657909666685,11807.099999904633,spinner,3000
5,0,5901.306748579698,15206.799999952316,none,3000
6,0,5746.169364819846,18602,skeleton-color,5000
7,0,4450.473590851821,13303.399999856949,spinner,1500
8,0,5446.843574644915,10784.200000047684,bar-color,1500
9,0,6094.118453043742,21447.800000190735,none,5000
10,0,5339.30550777186,12688.400000095367,bar,3000
11,0,6984.495721589522,10558.700000047684,bar,1500
12,0,5485.020793248149,21287.299999952316,skeleton,5000
13,0,4802.5583423126955,12641.399999856949,spinner-color,3000
14,0,6225.477254136104,12903.800000190735,skeleton-color,1500
15,0,5022.760347464805,16159.300000190735,spinner,5000
16,0,3856.040312711794,12056.599999904633,skeleton-color,3000
17,0,5841.978397419742,10573.5,skeleton,1500
18,0,4175.873903751088,16752.10000014305,spinner-color,5000
19,0,3941.7360199019645,9833.400000095367,spinner-color,1500
20,0,5421.19971816018,13535.899999856949,bar-color,3000
21,0,6018.646867069764,14505.800000190735,skeleton,3000
