group1,group2,meandiff,p-adj,lower,upper,reject,simulatedLoadingTime_sec
bar,bar-color,0.2482,0.9138,-0.4162,0.9126,False,1.0
bar,none,0.396,0.5431,-0.2684,1.0603,False,1.0
bar,skeleton,0.1874,0.9772,-0.4769,0.8518,False,1.0
bar,skeleton-color,0.4927,0.2803,-0.1717,1.1571,False,1.0
bar,spinner,0.1842,0.9791,-0.4802,0.8486,False,1.0
bar,spinner-color,0.1641,0.9885,-0.5003,0.8284,False,1.0
bar-color,none,0.1478,0.9934,-0.5166,0.8121,False,1.0
bar-color,skeleton,-0.0608,1.0,-0.7251,0.6036,False,1.0
bar-color,skeleton-color,0.2445,0.9193,-0.4199,0.9089,False,1.0
bar-color,spinner,-0.064,0.9999,-0.7284,0.6004,False,1.0
bar-color,spinner-color,-0.0842,0.9997,-0.7485,0.5802,False,1.0
none,skeleton,-0.2085,0.9614,-0.8729,0.4559,False,1.0
none,skeleton-color,0.0967,0.9994,-0.5676,0.7611,False,1.0
none,spinner,-0.2118,0.9585,-0.8761,0.4526,False,1.0
none,spinner-color,-0.2319,0.9364,-0.8963,0.4325,False,1.0
skeleton,skeleton-color,0.3052,0.8001,-0.3591,0.9696,False,1.0
skeleton,spinner,-0.0032,1.0,-0.6676,0.6611,False,1.0
skeleton,spinner-color,-0.0234,1.0,-0.6878,0.641,False,1.0
skeleton-color,spinner,-0.3085,0.7922,-0.9729,0.3559,False,1.0
skeleton-color,spinner-color,-0.3286,0.7399,-0.993,0.3357,False,1.0
spinner,spinner-color,-0.0201,1.0,-0.6845,0.6442,False,1.0
bar,bar-color,0.2008,0.9882,-0.609,1.0107,False,2.5
bar,none,0.6125,0.2585,-0.1973,1.4224,False,2.5
bar,skeleton,0.0145,1.0,-0.7953,0.8243,False,2.5
bar,skeleton-color,0.1928,0.9905,-0.617,1.0026,False,2.5
bar,spinner,0.1697,0.9952,-0.6401,0.9795,False,2.5
bar,spinner-color,0.1957,0.9897,-0.6141,1.0055,False,2.5
bar-color,none,0.4117,0.7148,-0.3981,1.2215,False,2.5
bar-color,skeleton,-0.1863,0.9921,-0.9961,0.6235,False,2.5
bar-color,skeleton-color,-0.008,1.0,-0.8178,0.8018,False,2.5
bar-color,spinner,-0.0311,1.0,-0.8409,0.7787,False,2.5
bar-color,spinner-color,-0.0052,1.0,-0.815,0.8046,False,2.5
none,skeleton,-0.598,0.2851,-1.4078,0.2118,False,2.5
none,skeleton-color,-0.4197,0.6962,-1.2295,0.3901,False,2.5
none,spinner,-0.4428,0.6411,-1.2526,0.367,False,2.5
none,spinner-color,-0.4169,0.7029,-1.2267,0.3929,False,2.5
skeleton,skeleton-color,0.1783,0.9938,-0.6315,0.9881,False,2.5
skeleton,spinner,0.1552,0.9971,-0.6546,0.965,False,2.5
skeleton,spinner-color,0.1812,0.9932,-0.6286,0.991,False,2.5
skeleton-color,spinner,-0.0231,1.0,-0.8329,0.7867,False,2.5
skeleton-color,spinner-color,0.0029,1.0,-0.8069,0.8127,False,2.5
spinner,spinner-color,0.0259,1.0,-0.7839,0.8358,False,2.5
bar,bar-color,-0.3024,0.8281,-0.9875,0.3826,False,5.0
bar,none,-0.0713,0.9999,-0.7563,0.6138,False,5.0
bar,skeleton,-0.4469,0.4331,-1.1319,0.2382,False,5.0
bar,skeleton-color,-0.114,0.9987,-0.799,0.5711,False,5.0
bar,spinner,-0.4318,0.4753,-1.1168,0.2532,False,5.0
bar,spinner-color,-0.2784,0.8767,-0.9634,0.4067,False,5.0
bar-color,none,0.2312,0.9456,-0.4539,0.9162,False,5.0
bar-color,skeleton,-0.1444,0.9951,-0.8295,0.5406,False,5.0
bar-color,skeleton-color,0.1885,0.9799,-0.4966,0.8735,False,5.0
bar-color,spinner,-0.1294,0.9973,-0.8144,0.5557,False,5.0
bar-color,spinner-color,0.0241,1.0,-0.661,0.7091,False,5.0
none,skeleton,-0.3756,0.6381,-1.0606,0.3094,False,5.0
none,skeleton-color,-0.0427,1.0,-0.7277,0.6423,False,5.0
none,spinner,-0.3605,0.681,-1.0456,0.3245,False,5.0
none,spinner-color,-0.2071,0.9679,-0.8921,0.478,False,5.0
skeleton,skeleton-color,0.3329,0.7554,-0.3521,1.018,False,5.0
skeleton,spinner,0.0151,1.0,-0.67,0.7001,False,5.0
skeleton,spinner-color,0.1685,0.9887,-0.5165,0.8536,False,5.0
skeleton-color,spinner,-0.3178,0.7928,-1.0029,0.3672,False,5.0
skeleton-color,spinner-color,-0.1644,0.9901,-0.8494,0.5207,False,5.0
spinner,spinner-color,0.1534,0.9931,-0.5316,0.8385,False,5.0
