group1,group2,meandiff,p-adj,lower,upper,reject
bar,bar-color,0.0489,1.0,-0.7079,0.8056,False
bar,none,0.3124,0.882,-0.4444,1.0692,False
bar,skeleton,-0.0816,0.9999,-0.8384,0.6751,False
bar,skeleton-color,0.1905,0.9892,-0.5663,0.9473,False
bar,spinner,-0.026,1.0,-0.7827,0.7308,False
bar,spinner-color,0.0271,1.0,-0.7296,0.7839,False
bar-color,none,0.2635,0.9448,-0.4932,1.0203,False
bar-color,skeleton,-0.1305,0.9986,-0.8873,0.6263,False
bar-color,skeleton-color,0.1416,0.9978,-0.6151,0.8984,False
bar-color,spinner,-0.0748,0.9999,-0.8316,0.682,False
bar-color,spinner-color,-0.0217,1.0,-0.7785,0.735,False
none,skeleton,-0.394,0.7137,-1.1508,0.3627,False
none,skeleton-color,-0.1219,0.9991,-0.8787,0.6349,False
none,spinner,-0.3384,0.8364,-1.0951,0.4184,False
none,spinner-color,-0.2853,0.9205,-1.0421,0.4715,False
skeleton,skeleton-color,0.2721,0.9359,-0.4846,1.0289,False
skeleton,spinner,0.0557,1.0,-0.7011,0.8125,False
skeleton,spinner-color,0.1088,0.9995,-0.648,0.8655,False
skeleton-color,spinner,-0.2165,0.979,-0.9732,0.5403,False
skeleton-color,spinner-color,-0.1634,0.9953,-0.9202,0.5934,False
spinner,spinner-color,0.0531,1.0,-0.7037,0.8099,False
