group1,group2,meandiff,p-adj,lower,upper,reject
bar,bar-color,0.0189,1.0,-0.5937,0.6315,False
bar,none,-1.0785,0.0,-1.6911,-0.4659,True
bar,skeleton,-0.0657,0.9999,-0.6783,0.5468,False
bar,skeleton-color,-0.7129,0.0113,-1.3255,-0.1003,True
bar,spinner,-0.2636,0.8598,-0.8762,0.349,False
bar,spinner-color,-0.1643,0.9849,-0.7768,0.4483,False
bar-color,none,-1.0974,0.0,-1.71,-0.4848,True
bar-color,skeleton,-0.0847,0.9996,-0.6972,0.5279,False
bar-color,skeleton-color,-0.7318,0.0083,-1.3444,-0.1192,True
bar-color,spinner,-0.2825,0.8154,-0.8951,0.3301,False
bar-color,spinner-color,-0.1832,0.9737,-0.7958,0.4294,False
none,skeleton,1.0127,0.0,0.4002,1.6253,True
none,skeleton-color,0.3656,0.5649,-0.247,0.9782,False
none,spinner,0.8149,0.002,0.2023,1.4275,True
none,spinner-color,0.9142,0.0003,0.3016,1.5268,True
skeleton,skeleton-color,-0.6472,0.0308,-1.2597,-0.0346,True
skeleton,spinner,-0.1978,0.9615,-0.8104,0.4148,False
skeleton,spinner-color,-0.0985,0.9991,-0.7111,0.5141,False
skeleton-color,spinner,0.4493,0.3086,-0.1633,1.0619,False
skeleton-color,spinner-color,0.5486,0.1121,-0.0639,1.1612,False
spinner,spinner-color,0.0993,0.999,-0.5133,0.7119,False
